library	symbol_name	address	symbol_type
DSOUND.DLL	DirectSoundCreate	EXTERNAL:00000001	Function
MFC40.DLL	Ordinal_2735	EXTERNAL:00000002	Function
MFC40.DLL	Ordinal_3148	EXTERNAL:00000003	Function
MFC40.DLL	Ordinal_271	EXTERNAL:00000004	Function
MFC40.DLL	Ordinal_537	EXTERNAL:00000005	Function
MFC40.DLL	Ordinal_1655	EXTERNAL:00000006	Label
MFC40.DLL	Ordinal_3158	EXTERNAL:00000007	Function
MFC40.DLL	Ordinal_2115	EXTERNAL:00000008	Function
MFC40.DLL	Ordinal_1426	EXTERNAL:00000009	Function
MFC40.DLL	Ordinal_1461	EXTERNAL:0000000a	Function
MFC40.DLL	Ordinal_3213	EXTERNAL:0000000b	Function
MFC40.DLL	Ordinal_2213	EXTERNAL:0000000c	Function
MFC40.DLL	Ordinal_3578	EXTERNAL:0000000d	Function
MFC40.DLL	Ordinal_1540	EXTERNAL:0000000e	Function
MFC40.DLL	Ordinal_3890	EXTERNAL:0000000f	Function
MFC40.DLL	Ordinal_4657	EXTERNAL:00000010	Function
MFC40.DLL	Ordinal_2086	EXTERNAL:00000011	Function
MFC40.DLL	Ordinal_4608	EXTERNAL:00000012	Function
MFC40.DLL	Ordinal_3837	EXTERNAL:00000013	Function
MFC40.DLL	Ordinal_4702	EXTERNAL:00000014	Function
MFC40.DLL	Ordinal_3314	EXTERNAL:00000015	Function
MFC40.DLL	Ordinal_5363	EXTERNAL:00000016	Function
MFC40.DLL	Ordinal_3920	EXTERNAL:00000017	Function
MFC40.DLL	Ordinal_4296	EXTERNAL:00000018	Function
MFC40.DLL	Ordinal_1784	EXTERNAL:00000019	Function
MFC40.DLL	Ordinal_5649	EXTERNAL:0000001a	Function
MFC40.DLL	Ordinal_3268	EXTERNAL:0000001b	Function
MFC40.DLL	Ordinal_4510	EXTERNAL:0000001c	Function
MFC40.DLL	Ordinal_1494	EXTERNAL:0000001d	Function
MFC40.DLL	Ordinal_4677	EXTERNAL:0000001e	Function
MFC40.DLL	Ordinal_2140	EXTERNAL:0000001f	Function
MFC40.DLL	Ordinal_1850	EXTERNAL:00000020	Function
MFC40.DLL	Ordinal_4691	EXTERNAL:00000021	Function
MFC40.DLL	Ordinal_2617	EXTERNAL:00000022	Function
MFC40.DLL	Ordinal_2754	EXTERNAL:00000023	Function
MFC40.DLL	Ordinal_2843	EXTERNAL:00000024	Function
MFC40.DLL	Ordinal_3945	EXTERNAL:00000025	Function
MFC40.DLL	Ordinal_2744	EXTERNAL:00000026	Function
MFC40.DLL	Ordinal_2845	EXTERNAL:00000027	Function
MFC40.DLL	Ordinal_2620	EXTERNAL:00000028	Function
MFC40.DLL	Ordinal_2696	EXTERNAL:00000029	Function
MFC40.DLL	Ordinal_3345	EXTERNAL:0000002a	Function
MFC40.DLL	Ordinal_3346	EXTERNAL:0000002b	Function
MFC40.DLL	Ordinal_2323	EXTERNAL:0000002c	Function
MFC40.DLL	Ordinal_2694	EXTERNAL:0000002d	Function
MFC40.DLL	Ordinal_3580	EXTERNAL:0000002e	Function
MFC40.DLL	Ordinal_4101	EXTERNAL:0000002f	Function
MFC40.DLL	Ordinal_3912	EXTERNAL:00000030	Function
MFC40.DLL	Ordinal_3340	EXTERNAL:00000031	Function
MFC40.DLL	Ordinal_5492	EXTERNAL:00000032	Function
MFC40.DLL	Ordinal_3656	EXTERNAL:00000033	Function
MFC40.DLL	Ordinal_2293	EXTERNAL:00000034	Function
MFC40.DLL	Ordinal_481	EXTERNAL:00000035	Function
MFC40.DLL	Ordinal_1035	EXTERNAL:00000036	Function
MFC40.DLL	Ordinal_817	EXTERNAL:00000037	Function
MFC40.DLL	Ordinal_2081	EXTERNAL:00000038	Function
MFC40.DLL	Ordinal_3761	EXTERNAL:00000039	Label
MFC40.DLL	Ordinal_5648	EXTERNAL:0000003a	Function
MFC40.DLL	Ordinal_3963	EXTERNAL:0000003b	Function
MFC40.DLL	Ordinal_2234	EXTERNAL:0000003c	Function
MFC40.DLL	Ordinal_2197	EXTERNAL:0000003d	Function
MFC40.DLL	Ordinal_5070	EXTERNAL:0000003e	Function
MFC40.DLL	Ordinal_3431	EXTERNAL:0000003f	Function
MFC40.DLL	Ordinal_965	EXTERNAL:00000040	Function
